process,rep,lag,theoretical_acf,acf
white_noise,26,5,0.0,0.022649085367323553
white_noise,26,6,0.0,-0.03374596239186293
white_noise,26,7,0.0,-0.0110036442786861
white_noise,26,8,0.0,-0.09477879500839706
white_noise,26,9,0.0,-0.07558424802677996
white_noise,26,10,0.0,0.060759687684037916
white_noise,26,11,0.0,-0.08953663045757974
white_noise,26,12,0.0,-0.04990271223802899
white_noise,26,13,0.0,-0.09966148338084889
white_noise,26,14,0.0,2.2860311530245927e-05
white_noise,26,15,0.0,0.08121205502740404
white_noise,26,16,0.0,-0.00038110477243457995
white_noise,26,17,0.0,0.021705400373730498
white_noise,26,18,0.0,0.005213746010637566
white_noise,26,19,0.0,-0.01886128927257476
white_noise,26,20,0.0,-0.07745769372105599
white_noise,27,1,0.0,-0.04574759724814573
white_noise,27,2,0.0,-0.00905596698197425
white_noise,27,3,0.0,0.14637527109069715
white_noise,27,4,0.0,-0.006161216225894056
white_noise,27,5,0.0,0.0438453158064045
white_noise,27,6,0.0,0.11407322781621626
white_noise,27,7,0.0,0.008944814255289119
white_noise,27,8,0.0,0.06658728310438958
white_noise,27,9,0.0,0.0038302358739167566
white_noise,27,10,0.0,-0.00738623285961823
white_noise,27,11,0.0,0.003882321104218125
white_noise,27,12,0.0,-0.021329133772786547
white_noise,27,13,0.0,0.04747050063761179
white_noise,27,14,0.0,-0.016428570950365366
white_noise,27,15,0.0,0.03213420744539645
white_noise,27,16,0.0,-0.0025729253392429946
white_noise,27,17,0.0,0.0062434423017082704
white_noise,27,18,0.0,-0.019580895873743863
white_noise,27,19,0.0,-0.029306825633553878
white_noise,27,20,0.0,0.005344553699746404
white_noise,28,1,0.0,-0.05253729860319049
white_noise,28,2,0.0,-0.026963482053103463
white_noise,28,3,0.0,0.035217785547709414
white_noise,28,4,0.0,0.010411718714650771
white_noise,28,5,0.0,-0.07250254790811539
white_noise,28,6,0.0,0.04038115915148158
white_noise,28,7,0.0,-0.07337985894938663
white_noise,28,8,0.0,-0.02205495227977624
white_noise,28,9,0.0,-0.04215442295525772
white_noise,28,10,0.0,0.02799717452350711
white_noise,28,11,0.0,-0.03710360753306265
white_noise,28,12,0.0,0.02823244342505406
white_noise,28,13,0.0,-0.021402527361528347
white_noise,28,14,0.0,0.07983048790383304
white_noise,28,15,0.0,-0.04146372866241977
white_noise,28,16,0.0,0.004309814213353553
white_noise,28,17,0.0,0.0009539757236921758
white_noise,28,18,0.0,-0.05438219569676405
white_noise,28,19,0.0,-0.11796259301894664
white_noise,28,20,0.0,0.004884590089616334
white_noise,29,1,0.0,-0.042949387618031534
white_noise,29,2,0.0,-0.07943503254050058
white_noise,29,3,0.0,0.04469756805522113
white_noise,29,4,0.0,0.13085726753609067
white_noise,29,5,0.0,-0.02891742677714774
white_noise,29,6,0.0,-0.06281553093316795
white_noise,29,7,0.0,0.05403833719754036
white_noise,29,8,0.0,-0.04514661267466846
white_noise,29,9,0.0,-0.10655973405049152
white_noise,29,10,0.0,-0.0007573316451058469
white_noise,29,11,0.0,0.03644320576926224
white_noise,29,12,0.0,-0.07454057507730494
white_noise,29,13,0.0,0.001305930387764765
white_noise,29,14,0.0,-0.047148128080825795
white_noise,29,15,0.0,-0.017949141991344803
white_noise,29,16,0.0,0.10976269688650515
white_noise,29,17,0.0,-0.06386486429108255
white_noise,29,18,0.0,0.01195206911931831
white_noise,29,19,0.0,-0.031313920848889294
white_noise,29,20,0.0,0.007378771308851118
white_noise,30,1,0.0,0.03918193189571809
white_noise,30,2,0.0,-0.15148662232284307
white_noise,30,3,0.0,0.027557952072885566
white_noise,30,4,0.0,-0.03007954426798689
white_noise,30,5,0.0,0.02942894870246796
white_noise,30,6,0.0,8.160083471755241e-05
white_noise,30,7,0.0,-0.008162960487070972
white_noise,30,8,0.0,0.015500516025488725
white_noise,30,9,0.0,0.02026920680559403
white_noise,30,10,0.0,-0.010166571196097486
white_noise,30,11,0.0,-0.039960570658091304
white_noise,30,12,0.0,-0.06438321291161392
white_noise,30,13,0.0,-0.03968856531000604
white_noise,30,14,0.0,0.09741846471696702
